Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
2300;+0.0000000000000000e+00;+4.7092246766358335e-08;+0.0000000000000000e+00;+2.6787093061018437e-08;+4.7092246766358335e-08;+9.8406344327957794e-17;+5.8738100095320871e-08
2400;+0.0000000000000000e+00;+4.3544796687542750e-08;+0.0000000000000000e+00;+2.5226411845717170e-08;+4.3544796687542750e-08;+1.0132016094343738e-16;+5.8834094801904401e-08
2500;+0.0000000000000000e+00;+4.3499713272764789e-08;+0.0000000000000000e+00;+2.4808245853230520e-08;+4.3499713272764789e-08;+1.0331746884958760e-16;+5.7502594036332391e-08
2600;+0.0000000000000000e+00;+4.0741686510802214e-08;+0.0000000000000000e+00;+2.3274362980560760e-08;+4.0741686510802214e-08;+1.0189632480169588e-16;+5.8226638639391337e-08
2700;+0.0000000000000000e+00;+4.0037023918524441e-08;+0.0000000000000000e+00;+2.2674478003998474e-08;+4.0037023918524441e-08;+1.0089842595794627e-16;+5.8332635504518562e-08
2800;+0.0000000000000000e+00;+3.7477093520279551e-08;+0.0000000000000000e+00;+2.1641921775713614e-08;+3.7477093520279551e-08;+1.0306752323825205e-16;+5.7685031243675904e-08
2900;+0.0000000000000000e+00;+3.7263334547618296e-08;+0.0000000000000000e+00;+2.1532199827418689e-08;+3.7263334547618296e-08;+9.8424987860997252e-17;+5.7151211161180865e-08
3000;+0.0000000000000000e+00;+3.5671201962931403e-08;+0.0000000000000000e+00;+2.0507919571982077e-08;+3.5671201962931403e-08;+9.4599587969711189e-17;+5.6596084348758675e-08
3100;+0.0000000000000000e+00;+3.4156616687294917e-08;+0.0000000000000000e+00;+1.9837545803671421e-08;+3.4156616687294917e-08;+1.0126551953871288e-16;+5.3876248462002837e-08
3200;+0.0000000000000000e+00;+3.3774002912920724e-08;+0.0000000000000000e+00;+1.9208932389050615e-08;+3.3774002912920724e-08;+9.4171539796274468e-17;+5.3461820713700341e-08
3300;+0.0000000000000000e+00;+3.2997858539898857e-08;+0.0000000000000000e+00;+1.8397766217150927e-08;+3.2997858539898857e-08;+9.4511121646866691e-17;+5.2915419168500349e-08
3400;+0.0000000000000000e+00;+3.2283161400195797e-08;+0.0000000000000000e+00;+1.8431988839727459e-08;+3.2283161400195797e-08;+9.2735918662695950e-17;+5.2837382986965796e-08
