Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
8100;+1.2503039836883545e+00;+7.9052799940109253e-01;+9.9737602472305298e-01;+8.9600002765655518e-01;+7.8847998380661011e-01;+1.3189120292663574e+00;+9.4617599248886108e-01
8150;+1.2769279479980469e+00;+8.0896002054214478e-01;+1.0178560018539429e+00;+9.0931200981140137e-01;+8.0691200494766235e-01;+1.3312000036239624e+00;+9.5129597187042236e-01
8200;+1.2830719947814941e+00;+7.9974400997161865e-01;+1.0260479450225830e+00;+9.0521597862243652e-01;+7.9872000217437744e-01;+1.3434879779815674e+00;+9.6153599023818970e-01
8250;+1.2994560003280640e+00;+8.2329601049423218e-01;+1.0342400074005127e+00;+9.2876797914505005e-01;+8.2022398710250854e-01;+1.3619199991226196e+00;+9.6767997741699219e-01
8300;+1.3015040159225464e+00;+8.0998402833938599e-01;+1.0393600463867188e+00;+9.1545599699020386e-01;+8.0896002054214478e-01;+1.3711359500885010e+00;+9.7791999578475952e-01
8350;+1.3219840526580811e+00;+8.3353602886199951e-01;+1.0557440519332886e+00;+9.4105601310729980e-01;+8.3046400547027588e-01;+1.3557759523391724e+00;+9.7996801137924194e-01
8400;+1.3168640136718750e+00;+8.3865600824356079e-01;+1.0577919483184814e+00;+9.4720000028610229e-01;+8.3660799264907837e-01;+1.3957120180130005e+00;+9.8406398296356201e-01
8450;+1.3240319490432739e+00;+8.2739198207855225e-01;+1.0567679405212402e+00;+9.4105601310729980e-01;+8.2739198207855225e-01;+1.4223359823226929e+00;+1.0045440196990967e+00
8500;+1.3352960348129272e+00;+8.5401600599288940e-01;+1.0741759538650513e+00;+9.6460801362991333e-01;+8.4889602661132812e-01;+1.4120960235595703e+00;+1.0117119550704956e+00
8550;+1.3332480192184448e+00;+8.4172797203063965e-01;+1.0690560340881348e+00;+9.5231997966766357e-01;+8.4070402383804321e-01;+1.4417920112609863e+00;+1.0158079862594604e+00
8600;+1.3547519445419312e+00;+8.6118400096893311e-01;+1.0905599594116211e+00;+9.7484797239303589e-01;+8.6015999317169189e-01;+1.4602240324020386e+00;+1.0260479450225830e+00
