Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+11700;+1.6323519945144653e+00;+1.4537919759750366e+00;+1.6305279731750488e+00;+1.4435199499130249e+00;+1.4552960395812988e+00;+1.0068479776382446e+00;+9.1539198160171509e-01
+11800;+1.6475520133972168e+00;+1.4663039445877075e+00;+1.6464960575103760e+00;+1.4513599872589111e+00;+1.4664640426635742e+00;+1.0192639827728271e+00;+9.2454397678375244e-01
+11900;+1.6611839532852173e+00;+1.4772800207138062e+00;+1.6560640335083008e+00;+1.4644479751586914e+00;+1.4774719476699829e+00;+1.0284160375595093e+00;+9.3379199504852295e-01
+12000;+1.6345920562744141e+00;+1.4858239889144897e+00;+1.6335040330886841e+00;+1.4626239538192749e+00;+1.4822720289230347e+00;+1.0349760055541992e+00;+9.4086402654647827e-01
+12100;+1.6539520025253296e+00;+1.4937920570373535e+00;+1.6492480039596558e+00;+1.4789439439773560e+00;+1.4956159591674805e+00;+1.0457600355148315e+00;+9.5238399505615234e-01
+12200;+1.7062400579452515e+00;+1.4996160268783569e+00;+1.7092479467391968e+00;+1.4853760004043579e+00;+1.4997119903564453e+00;+1.0558400154113770e+00;+9.5795202255249023e-01
+12300;+1.7238080501556396e+00;+1.5198080539703369e+00;+1.7220159769058228e+00;+1.4934079647064209e+00;+1.5140160322189331e+00;+1.0639679431915283e+00;+9.7129601240158081e-01
+12400;+1.7313599586486816e+00;+1.5490880012512207e+00;+1.7330880165100098e+00;+1.5345920324325562e+00;+1.5486719608306885e+00;+1.0743680000305176e+00;+9.7129601240158081e-01
+12500;+1.7495360374450684e+00;+1.5569599866867065e+00;+1.7430720329284668e+00;+1.5482560396194458e+00;+1.5602240562438965e+00;+1.0829119682312012e+00;+9.8137599229812622e-01
+12600;+1.7683839797973633e+00;+1.5710400342941284e+00;+1.7667520046234131e+00;+1.5566400289535522e+00;+1.5697599649429321e+00;+1.0931520462036133e+00;+9.9119997024536133e-01
+12700;+1.7784320116043091e+00;+1.5795199871063232e+00;+1.7776639461517334e+00;+1.5676800012588501e+00;+1.5815999507904053e+00;+1.1030399799346924e+00;+1.0029439926147461e+00
+12800;+1.7473280429840088e+00;+1.5887360572814941e+00;+1.7482880353927612e+00;+1.5666559934616089e+00;+1.5864640474319458e+00;+1.1136640310287476e+00;+1.0081599950790405e+00
+12900;+1.7655680179595947e+00;+1.5960960388183594e+00;+1.7651840448379517e+00;+1.5777599811553955e+00;+1.5924479961395264e+00;+1.1223679780960083e+00;+1.0179200172424316e+00
+13000;+1.8297280073165894e+00;+1.6025600433349609e+00;+1.8279999494552612e+00;+1.5835200548171997e+00;+1.6018559932708740e+00;+1.1308159828186035e+00;+1.0261440277099609e+00
+13100;+1.8434239625930786e+00;+1.6169600486755371e+00;+1.8407679796218872e+00;+1.5953279733657837e+00;+1.6118079423904419e+00;+1.1422719955444336e+00;+1.0347839593887329e+00
+13200;+1.8531839847564697e+00;+1.6534399986267090e+00;+1.8464640378952026e+00;+1.6378240585327148e+00;+1.6486400365829468e+00;+1.1514559984207153e+00;+1.0391360521316528e+00
+13300;+1.8732160329818726e+00;+1.6669759750366211e+00;+1.8718400001525879e+00;+1.6487040519714355e+00;+1.6614079475402832e+00;+1.1619520187377930e+00;+1.0496000051498413e+00
+13400;+1.8882559537887573e+00;+1.6751359701156616e+00;+1.8869760036468506e+00;+1.6549760103225708e+00;+1.6751999855041504e+00;+1.1719039678573608e+00;+1.0579839944839478e+00
+13500;+1.8998080492019653e+00;+1.6933439970016479e+00;+1.8992960453033447e+00;+1.6746560335159302e+00;+1.6888639926910400e+00;+1.1852799654006958e+00;+1.0683840513229370e+00
+13600;+1.8614079952239990e+00;+1.6899839639663696e+00;+1.8662400245666504e+00;+1.6634559631347656e+00;+1.6879680156707764e+00;+1.1937600374221802e+00;+1.0741440057754517e+00
+13700;+1.8871999979019165e+00;+1.6961280107498169e+00;+1.8817600011825562e+00;+1.6785279512405396e+00;+1.6953599452972412e+00;+1.2036800384521484e+00;+1.0797760486602783e+00
+13800;+1.9518079757690430e+00;+1.7038079500198364e+00;+1.9501440525054932e+00;+1.6845120191574097e+00;+1.7022399902343750e+00;+1.2162239551544189e+00;+1.0858880281448364e+00
+13900;+1.9608000516891479e+00;+1.7176320552825928e+00;+1.9624960422515869e+00;+1.6965759992599487e+00;+1.7164800167083740e+00;+1.2220480442047119e+00;+1.0971519947052002e+00
+14000;+1.9708479642868042e+00;+1.7511039972305298e+00;+1.9738559722900391e+00;+1.7384320497512817e+00;+1.7515840530395508e+00;+1.2360320091247559e+00;+1.1087360382080078e+00
+14100;+1.9926079511642456e+00;+1.7699520587921143e+00;+1.9900480508804321e+00;+1.7500159740447998e+00;+1.7659200429916382e+00;+1.2461760044097900e+00;+1.1152640581130981e+00
+14200;+2.0137600898742676e+00;+1.7812160253524780e+00;+2.0122239589691162e+00;+1.7649600505828857e+00;+1.7772799730300903e+00;+1.2605119943618774e+00;+1.1231679916381836e+00
