Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
285000000;0.0000000000000000e+00;8.3983798656590730e-07;1.4529822013798704e-15;7.0191362687727567e-09;2.6472093757668375e-15;1.3854410501390194e-06
287000000;0.0000000000000000e+00;1.1078220385239923e-06;9.4361053224970160e-16;6.3188955743980677e-09;2.9042891418710845e-15;1.0348604650847237e-06
289000000;0.0000000000000000e+00;1.7195788129395053e-06;1.4181480135789786e-15;6.1309638443442167e-09;3.0838461266239535e-15;1.0696936551574713e-06
291000000;0.0000000000000000e+00;8.7544622115909955e-07;1.9228246804538339e-15;5.7665292409165983e-09;3.6828737252562417e-15;1.0606457864929932e-06
293000000;0.0000000000000000e+00;1.0230831461366654e-06;1.3191338063517395e-15;8.0336896285457048e-09;2.7709516145247361e-15;1.0047675714354074e-06
295000000;0.0000000000000000e+00;1.0616842113311087e-06;1.3757652129209087e-15;8.6846454247939803e-09;2.9132910928088219e-15;9.4699625937910620e-07
297000000;0.0000000000000000e+00;1.5715291139148116e-06;2.1852787891442012e-15;9.8540345677009855e-09;2.7396394886744713e-15;1.1310194939821645e-06
299000000;0.0000000000000000e+00;1.3846914116572547e-06;1.0230531113581729e-15;1.1975168288846772e-08;3.7367706248242119e-15;1.1426114529560667e-06
301000000;0.0000000000000000e+00;8.5329025403280967e-07;1.4217875151871703e-15;1.1202671278908698e-08;1.7424683225769932e-15;9.6779702496392760e-07
303000000;0.0000000000000000e+00;8.4619479875078133e-07;1.5669625974442994e-15;1.2614888198338634e-08;3.1227305678007864e-15;1.0270017763152546e-06
305000000;0.0000000000000000e+00;1.2104264108120833e-06;1.3761521361288683e-15;1.2752194568168293e-08;2.7611314221506172e-15;9.9683363713374107e-07
307000000;0.0000000000000000e+00;1.5075576687241602e-06;1.9861378793491759e-15;1.4545532899417814e-08;2.8297371757611267e-15;1.0964843259103986e-06
309000000;0.0000000000000000e+00;1.2447933564808009e-06;1.5248838562565873e-15;1.5649855413719679e-08;2.3649415085853198e-15;1.1202206405092479e-06
311000000;0.0000000000000000e+00;1.1393435954493854e-06;1.8154987042030642e-15;1.8139847381281244e-08;3.6873037133245382e-15;1.0686559714789195e-06
313000000;0.0000000000000000e+00;1.0180081625670132e-06;1.0315254204181409e-15;1.8909943989452640e-08;2.0143278616187530e-15;9.7851218957994937e-07
315000000;0.0000000000000000e+00;9.9701452126808296e-07;1.3211811441419395e-15;2.1378191687677799e-08;1.8613028102547334e-15;1.0497074270976695e-06
317000000;0.0000000000000000e+00;1.1711546380539552e-06;1.5085038163648178e-15;2.1315864562053205e-08;2.0291339050242472e-15;9.2758909239529910e-07
319000000;0.0000000000000000e+00;1.5094462377714816e-06;1.5276258597756891e-15;2.5897343597232873e-08;3.9900716328131745e-15;1.0496296538964088e-06
321000000;0.0000000000000000e+00;1.2063800762114505e-06;2.8872455939496476e-15;2.8177377769205445e-08;3.6534606006298588e-15;1.1315634786917246e-06
