Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
11700;1.2340480089187622e+00;6.2492799758911133e-01;1.2339199781417847e+00;6.2511998414993286e-01;1.3207360506057739e+00;6.5062397718429565e-01
11800;1.2568000555038452e+00;6.3571202754974365e-01;1.2566080093383789e+00;6.3692802190780640e-01;1.3579200506210327e+00;6.6204798221588135e-01
11900;1.2805440425872803e+00;6.4572799205780029e-01;1.2800320386886597e+00;6.4668798446655273e-01;1.3813439607620239e+00;6.6969597339630127e-01
12000;1.2971520423889160e+00;6.5596801042556763e-01;1.2970240116119385e+00;6.5635198354721069e-01;1.3903679847717285e+00;6.7977601289749146e-01
12100;1.3238719701766968e+00;6.6713601350784302e-01;1.3240640163421631e+00;6.6883200407028198e-01;1.4092160463333130e+00;6.9401597976684570e-01
12200;1.3447680473327637e+00;6.7743998765945435e-01;1.3425600528717041e+00;6.7859202623367310e-01;1.4242559671401978e+00;7.0374399423599243e-01
12300;1.3625279664993286e+00;6.8726402521133423e-01;1.3625279664993286e+00;6.8800002336502075e-01;1.4406080245971680e+00;7.1571201086044312e-01
12400;1.3841919898986816e+00;6.9846397638320923e-01;1.3844799995422363e+00;6.9871997833251953e-01;1.4538880586624146e+00;7.2569602727890015e-01
12500;1.4076800346374512e+00;7.1135997772216797e-01;1.4072959423065186e+00;7.1158397197723389e-01;1.4730240106582642e+00;7.3919999599456787e-01
12600;1.4294079542160034e+00;7.2268801927566528e-01;1.4298239946365356e+00;7.2329598665237427e-01;1.4831999540328979e+00;7.5107198953628540e-01
12700;1.4536639451980591e+00;7.3318397998809814e-01;1.4529919624328613e+00;7.3363202810287476e-01;1.5044159889221191e+00;7.6153600215911865e-01
12800;1.4747519493103027e+00;7.4521601200103760e-01;1.4750399589538574e+00;7.4483197927474976e-01;1.5177600383758545e+00;7.8025597333908081e-01
12900;1.5000640153884888e+00;7.5737601518630981e-01;1.5000959634780884e+00;7.5808000564575195e-01;1.5343999862670898e+00;8.2160001993179321e-01
13000;1.5219839811325073e+00;7.6966398954391479e-01;1.5216319561004639e+00;7.7052801847457886e-01;1.5486400127410889e+00;8.4031999111175537e-01
13100;1.5459200143814087e+00;7.8137600421905518e-01;1.5459519624710083e+00;7.8268802165985107e-01;1.5696320533752441e+00;8.5068798065185547e-01
13200;1.5685119628906250e+00;7.9328000545501709e-01;1.5683840513229370e+00;7.9391998052597046e-01;1.5987839698791504e+00;8.7142401933670044e-01
13300;1.5922880172729492e+00;8.0572801828384399e-01;1.5918079614639282e+00;8.0655997991561890e-01;1.6131199598312378e+00;8.8576000928878784e-01
13400;1.6151360273361206e+00;8.1743997335433960e-01;1.6158720254898071e+00;8.1859201192855835e-01;1.6358400583267212e+00;8.9251202344894409e-01
13500;1.6403520107269287e+00;8.2966399192810059e-01;1.6404160261154175e+00;8.3081597089767456e-01;1.6633599996566772e+00;9.0259200334548950e-01
13600;1.6640319824218750e+00;8.4179198741912842e-01;1.6632000207901001e+00;8.4223997592926025e-01;1.6813759803771973e+00;9.1219198703765869e-01
13700;1.6889920234680176e+00;8.5356801748275757e-01;1.6890879869461060e+00;8.5468798875808716e-01;1.7083519697189331e+00;9.2211198806762695e-01
13800;1.7118400335311890e+00;8.6576002836227417e-01;1.7122880220413208e+00;8.6643201112747192e-01;1.7329599857330322e+00;9.2835199832916260e-01
13900;1.7399359941482544e+00;8.7843197584152222e-01;1.7406400442123413e+00;8.7932801246643066e-01;1.7582720518112183e+00;9.3731200695037842e-01
14000;1.7614079713821411e+00;8.9132797718048096e-01;1.7610239982604980e+00;8.9283198118209839e-01;1.7822719812393188e+00;9.4838398694992065e-01
14100;1.7894719839096069e+00;9.0534400939941406e-01;1.7896319627761841e+00;9.0649598836898804e-01;1.8115199804306030e+00;9.5708799362182617e-01
14200;1.8111679553985596e+00;9.1648000478744507e-01;1.8114240169525146e+00;9.1731202602386475e-01;1.8336639404296875e+00;9.6723198890686035e-01
14300;1.8393599987030029e+00;9.2860800027847290e-01;1.8396159410476685e+00;9.2915201187133789e-01;1.8606719970703125e+00;9.7791999578475952e-01
14400;1.8608319759368896e+00;9.4063997268676758e-01;1.8600959777832031e+00;9.3980801105499268e-01;1.8815679550170898e+00;9.9187201261520386e-01
14500;1.8881280422210693e+00;9.5462399721145630e-01;1.8877120018005371e+00;9.5520001649856567e-01;1.9101760387420654e+00;1.0024000406265259e+00
14600;1.9139519929885864e+00;9.6767997741699219e-01;1.9136320352554321e+00;9.6895998716354370e-01;1.9356479644775391e+00;1.0109440088272095e+00
14700;1.9411519765853882e+00;9.8022401332855225e-01;1.9408639669418335e+00;9.8105597496032715e-01;1.9611200094223022e+00;1.0235519409179688e+00
14800;1.9659520387649536e+00;9.9302399158477783e-01;1.9664319753646851e+00;9.9440002441406250e-01;1.9834879636764526e+00;1.0331519842147827e+00
14900;1.9951039552688599e+00;1.0071359872817993e+00;1.9946240186691284e+00;1.0079040527343750e+00;2.0114240646362305e+00;1.0484479665756226e+00
15000;2.0199680328369141e+00;1.0207040309906006e+00;2.0205121040344238e+00;1.0217280387878418e+00;2.0426239967346191e+00;1.0633280277252197e+00
15100;2.0473279953002930e+00;1.0348479747772217e+00;2.0471680164337158e+00;1.0358719825744629e+00;2.0698239803314209e+00;1.0718400478363037e+00
15200;2.0729920864105225e+00;1.0504000186920166e+00;2.0724160671234131e+00;1.0496959686279297e+00;2.0948479175567627e+00;1.0869439840316772e+00
15300;2.1018240451812744e+00;1.0625280141830444e+00;2.1017279624938965e+00;1.0633280277252197e+00;2.1229119300842285e+00;1.1001919507980347e+00
15400;2.1285440921783447e+00;1.0768640041351318e+00;2.1278400421142578e+00;1.0770879983901978e+00;2.1510720252990723e+00;1.1164480447769165e+00
15500;2.1568319797515869e+00;1.0897599458694458e+00;2.1568639278411865e+00;1.0904320478439331e+00;2.1800000667572021e+00;1.1291840076446533e+00
15600;2.1834239959716797e+00;1.1035200357437134e+00;2.1831679344177246e+00;1.1046080589294434e+00;2.2039361000061035e+00;1.1452800035476685e+00
15700;2.2122240066528320e+00;1.1170879602432251e+00;2.2125439643859863e+00;1.1184320449829102e+00;2.2335040569305420e+00;1.1592639684677124e+00
15800;2.2404479980468750e+00;1.1304639577865601e+00;2.2403199672698975e+00;1.1313600540161133e+00;2.2637760639190674e+00;1.1698880195617676e+00
15900;2.2866559028625488e+00;1.1485120058059692e+00;2.2865281105041504e+00;1.1494400501251221e+00;2.2902400493621826e+00;1.1874560117721558e+00
16000;2.2967679500579834e+00;1.1585919857025146e+00;2.2964160442352295e+00;1.1581759452819824e+00;2.3202879428863525e+00;1.1992640495300293e+00
16100;2.3437440395355225e+00;1.1795519590377808e+00;2.3440001010894775e+00;1.1811200380325317e+00;2.3479359149932861e+00;1.2101440429687500e+00
16200;2.3583040237426758e+00;1.1920640468597412e+00;2.3588800430297852e+00;1.1936639547348022e+00;2.3726720809936523e+00;1.2296639680862427e+00
16300;2.4016320705413818e+00;1.2048640251159668e+00;2.4018559455871582e+00;1.2068480253219604e+00;2.4037439823150635e+00;1.2442879676818848e+00
16400;2.4097280502319336e+00;1.2137600183486938e+00;2.4100480079650879e+00;1.2144639492034912e+00;2.4342401027679443e+00;1.2573759555816650e+00
16500;2.4417600631713867e+00;1.2297600507736206e+00;2.4416320323944092e+00;1.2302399873733521e+00;2.4660480022430420e+00;1.2694079875946045e+00
16600;2.4693119525909424e+00;1.2445759773254395e+00;2.4697599411010742e+00;1.2461119890213013e+00;2.4965119361877441e+00;1.2846080064773560e+00
16700;2.5001919269561768e+00;1.2601280212402344e+00;2.5007998943328857e+00;1.2603199481964111e+00;2.5283839702606201e+00;1.3014080524444580e+00
16800;2.5303359031677246e+00;1.2759040594100952e+00;2.5301120281219482e+00;1.2741440534591675e+00;2.5572159290313721e+00;1.3155200481414795e+00
16900;2.5621120929718018e+00;1.2904640436172485e+00;2.5614080429077148e+00;1.2911679744720459e+00;2.5901119709014893e+00;1.3325120210647583e+00
17000;2.5913600921630859e+00;1.3054399490356445e+00;2.5910398960113525e+00;1.3062080144882202e+00;2.6181440353393555e+00;1.3476159572601318e+00
17100;2.6226239204406738e+00;1.3208639621734619e+00;2.6223039627075195e+00;1.3219519853591919e+00;2.6566720008850098e+00;1.3605439662933350e+00
17200;2.6512639522552490e+00;1.3363200426101685e+00;2.6518399715423584e+00;1.3375359773635864e+00;2.6909759044647217e+00;1.3777600526809692e+00
17300;2.6834559440612793e+00;1.3519359827041626e+00;2.6841599941253662e+00;1.3528959751129150e+00;2.7627201080322266e+00;1.3920960426330566e+00
17400;2.7135679721832275e+00;1.3673919439315796e+00;2.7126080989837646e+00;1.3682240247726440e+00;2.8309760093688965e+00;1.4074560403823853e+00
17500;2.7453761100769043e+00;1.3823679685592651e+00;2.7461760044097900e+00;1.3834240436553955e+00;2.8854720592498779e+00;1.4208960533142090e+00
17600;2.7755520343780518e+00;1.3991999626159668e+00;2.7748479843139648e+00;1.3984639644622803e+00;2.8918399810791016e+00;1.4398399591445923e+00
17700;2.8093440532684326e+00;1.4153599739074707e+00;2.8094398975372314e+00;1.4168000221252441e+00;2.9355840682983398e+00;1.4571199417114258e+00
17800;2.8406720161437988e+00;1.4296959638595581e+00;2.8411519527435303e+00;1.4305919408798218e+00;2.9624640941619873e+00;1.4716160297393799e+00
17900;2.8730559349060059e+00;1.4453439712524414e+00;2.8732800483703613e+00;1.4463679790496826e+00;2.9851200580596924e+00;1.4911999702453613e+00
18000;2.9037759304046631e+00;1.4612159729003906e+00;2.9037120342254639e+00;1.4624639749526978e+00;3.0079998970031738e+00;1.5069439411163330e+00
18100;2.9403200149536133e+00;1.4792640209197998e+00;2.9402880668640137e+00;1.4805760383605957e+00;3.0327680110931396e+00;1.5250240564346313e+00
18200;2.9679679870605469e+00;1.4953279495239258e+00;2.9676480293273926e+00;1.4975680112838745e+00;3.0571520328521729e+00;1.5413119792938232e+00
18300;3.0064320564270020e+00;1.5107519626617432e+00;3.0059518814086914e+00;1.5124800205230713e+00;3.0875520706176758e+00;1.5558719635009766e+00
18400;3.0312640666961670e+00;1.5281280279159546e+00;3.0304639339447021e+00;1.5257920026779175e+00;3.1042239665985107e+00;1.5704319477081299e+00
18500;3.0660800933837891e+00;1.5439679622650146e+00;3.0656321048736572e+00;1.5442880392074585e+00;3.1359360218048096e+00;1.5899519920349121e+00
18600;3.0989439487457275e+00;1.5596799850463867e+00;3.0998399257659912e+00;1.5608320236206055e+00;3.1670720577239990e+00;1.6099200248718262e+00
18700;3.1324160099029541e+00;1.5765440464019775e+00;3.1321280002593994e+00;1.5774079561233521e+00;3.1895680427551270e+00;1.6252160072326660e+00
18800;3.1654400825500488e+00;1.5918079614639282e+00;3.1651840209960938e+00;1.5934079885482788e+00;3.2101759910583496e+00;1.6419839859008789e+00
18900;3.2014720439910889e+00;1.6096320152282715e+00;3.2004799842834473e+00;1.6109759807586670e+00;3.2499198913574219e+00;1.6634240150451660e+00
19000;3.2342081069946289e+00;1.6264319419860840e+00;3.2345600128173828e+00;1.6280000209808350e+00;3.2858879566192627e+00;1.6819839477539062e+00
19100;3.2696959972381592e+00;1.6439679861068726e+00;3.2690560817718506e+00;1.6456320285797119e+00;3.3135359287261963e+00;1.6992319822311401e+00
19200;3.3017599582672119e+00;1.6608959436416626e+00;3.3011519908905029e+00;1.6615680456161499e+00;3.3422400951385498e+00;1.7244479656219482e+00
19300;3.3376960754394531e+00;1.6792960166931152e+00;3.3377599716186523e+00;1.6810239553451538e+00;3.3851199150085449e+00;1.7737280130386353e+00
19400;3.3701760768890381e+00;1.6964160203933716e+00;3.3706879615783691e+00;1.6983040571212769e+00;3.4118080139160156e+00;1.7904319763183594e+00
19500;3.4068479537963867e+00;1.7131839990615845e+00;3.4063680171966553e+00;1.7152960300445557e+00;3.4484479427337646e+00;1.8037760257720947e+00
19600;3.4416959285736084e+00;1.7301759719848633e+00;3.4411199092864990e+00;1.7317119836807251e+00;3.4771840572357178e+00;1.8350399732589722e+00
