Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
3100;+3.1196799874305725e-01;+4.3904000520706177e-01;+3.6137598752975464e-01;+3.3894398808479309e-01;+4.3974399566650391e-01;+3.5817599296569824e-01;+3.4003201127052307e-01
3150;+3.1564798951148987e-01;+4.4579198956489563e-01;+3.6614400148391724e-01;+3.4348800778388977e-01;+4.4675201177597046e-01;+3.6544001102447510e-01;+3.4860798716545105e-01
3200;+3.1932801008224487e-01;+4.5174399018287659e-01;+3.7126401066780090e-01;+3.4720000624656677e-01;+4.5257601141929626e-01;+3.7193599343299866e-01;+3.4995201230049133e-01
3250;+3.2531198859214783e-01;+4.5878401398658752e-01;+3.7599998712539673e-01;+3.5379201173782349e-01;+4.5945599675178528e-01;+3.7644800543785095e-01;+3.5811200737953186e-01
3300;+3.3049601316452026e-01;+4.6515199542045593e-01;+3.8297599554061890e-01;+3.5967999696731567e-01;+4.6476799249649048e-01;+3.9107200503349304e-01;+3.6598399281501770e-01
3350;+3.3372798562049866e-01;+4.7148799896240234e-01;+3.8694399595260620e-01;+3.6195200681686401e-01;+4.7363200783729553e-01;+3.9520001411437988e-01;+3.6656001210212708e-01
3400;+3.4047999978065491e-01;+4.7862398624420166e-01;+3.9356800913810730e-01;+3.6844798922538757e-01;+4.7817599773406982e-01;+4.0227198600769043e-01;+3.7686398625373840e-01
3450;+3.4227201342582703e-01;+4.8355200886726379e-01;+3.9840000867843628e-01;+3.7059199810028076e-01;+4.8307201266288757e-01;+4.0588799118995667e-01;+3.7836799025535583e-01
3500;+3.4751999378204346e-01;+4.9110400676727295e-01;+4.0511998534202576e-01;+3.7663999199867249e-01;+4.9203199148178101e-01;+4.1526401042938232e-01;+3.8835200667381287e-01
3550;+3.5059198737144470e-01;+4.9696001410484314e-01;+4.0716800093650818e-01;+3.7920001149177551e-01;+4.9574398994445801e-01;+4.1814398765563965e-01;+3.9161598682403564e-01
3600;+3.5667198896408081e-01;+5.0275200605392456e-01;+4.1500800848007202e-01;+3.8556799292564392e-01;+5.0585597753524780e-01;+4.3055999279022217e-01;+3.9881598949432373e-01
3650;+3.6499199271202087e-01;+5.0959998369216919e-01;+4.1987198591232300e-01;+3.9136001467704773e-01;+5.1049602031707764e-01;+4.4019201397895813e-01;+4.0591999888420105e-01
3700;+3.6719998717308044e-01;+5.1683199405670166e-01;+4.2563199996948242e-01;+3.9484798908233643e-01;+5.1731199026107788e-01;+4.4319999217987061e-01;+4.1027200222015381e-01
3750;+3.7184000015258789e-01;+5.2233600616455078e-01;+4.3100801110267639e-01;+4.0064001083374023e-01;+5.2406400442123413e-01;+4.5574399828910828e-01;+4.1683200001716614e-01
3800;+3.7548801302909851e-01;+5.2838397026062012e-01;+4.3532800674438477e-01;+4.0396800637245178e-01;+5.3017598390579224e-01;+4.5606398582458496e-01;+4.1903999447822571e-01
3850;+3.8032001256942749e-01;+5.3398400545120239e-01;+4.4073599576950073e-01;+4.0876799821853638e-01;+5.3708797693252563e-01;+4.7007998824119568e-01;+4.2854401469230652e-01
3900;+3.8499200344085693e-01;+5.3875201940536499e-01;+4.4396799802780151e-01;+4.1251200437545776e-01;+5.4287999868392944e-01;+4.7030401229858398e-01;+4.3315199017524719e-01
3950;+3.9072000980377197e-01;+5.4844802618026733e-01;+4.5072001218795776e-01;+4.1977599263191223e-01;+5.5219197273254395e-01;+4.8240000009536743e-01;+4.3833601474761963e-01
4000;+3.9497599005699158e-01;+5.5500799417495728e-01;+4.5542401075363159e-01;+4.2230400443077087e-01;+5.5542397499084473e-01;+4.8534399271011353e-01;+4.4636800885200500e-01
4050;+3.9852800965309143e-01;+5.5846399068832397e-01;+4.6364799141883850e-01;+4.2960000038146973e-01;+5.6473600864410400e-01;+4.9337598681449890e-01;+4.5414400100708008e-01
4100;+4.0672001242637634e-01;+5.6720000505447388e-01;+4.7011199593544006e-01;+4.3516799807548523e-01;+5.6953597068786621e-01;+5.1043200492858887e-01;+4.5952001214027405e-01
4150;+4.1014400124549866e-01;+5.7344001531600952e-01;+4.7216001152992249e-01;+4.3798398971557617e-01;+5.7551997900009155e-01;+5.1171201467514038e-01;+4.6531200408935547e-01
4200;+4.1331198811531067e-01;+5.8054399490356445e-01;+4.7852799296379089e-01;+4.4508799910545349e-01;+5.8217602968215942e-01;+5.2118402719497681e-01;+4.7046399116516113e-01
4250;+4.1980800032615662e-01;+5.8630400896072388e-01;+4.8460799455642700e-01;+4.4675201177597046e-01;+5.8889597654342651e-01;+5.2793598175048828e-01;+4.7376000881195068e-01
4300;+4.2374399304389954e-01;+5.9203201532363892e-01;+4.8988801240921021e-01;+4.5251199603080750e-01;+5.9609597921371460e-01;+5.3638398647308350e-01;+4.8323199152946472e-01
4350;+4.2707198858261108e-01;+5.9785598516464233e-01;+4.9321600794792175e-01;+4.5840001106262207e-01;+6.0246402025222778e-01;+5.4185599088668823e-01;+4.8873600363731384e-01
4400;+4.3398401141166687e-01;+6.0486400127410889e-01;+5.0172799825668335e-01;+4.6313598752021790e-01;+6.0915201902389526e-01;+5.5184000730514526e-01;+4.9555200338363647e-01
4450;+4.4140800833702087e-01;+6.1312001943588257e-01;+5.0508797168731689e-01;+4.6524798870086670e-01;+6.1571198701858521e-01;+5.6448000669479370e-01;+5.0268799066543579e-01
4500;+4.4531199336051941e-01;+6.1878401041030884e-01;+5.1132798194885254e-01;+4.7308799624443054e-01;+6.2086397409439087e-01;+5.6739199161529541e-01;+5.0409597158432007e-01
4550;+4.4918400049209595e-01;+6.2531197071075439e-01;+5.1375997066497803e-01;+4.7913599014282227e-01;+6.2860798835754395e-01;+5.7756799459457397e-01;+5.1219201087951660e-01
4600;+4.5382401347160339e-01;+6.3081598281860352e-01;+5.2092802524566650e-01;+4.8032000660896301e-01;+6.3468801975250244e-01;+5.8073598146438599e-01;+5.1667201519012451e-01
4650;+4.5987200736999512e-01;+6.3993597030639648e-01;+5.3056001663208008e-01;+4.8537600040435791e-01;+6.4131200313568115e-01;+5.9280002117156982e-01;+5.2300798892974854e-01
4700;+4.6163201332092285e-01;+6.4262402057647705e-01;+5.3305602073669434e-01;+4.9062401056289673e-01;+6.4614397287368774e-01;+5.9593600034713745e-01;+5.3056001663208008e-01
4750;+4.6764799952507019e-01;+6.5123200416564941e-01;+5.3843200206756592e-01;+4.9683201313018799e-01;+6.5356802940368652e-01;+6.0192000865936279e-01;+5.3721600770950317e-01
4800;+4.7385600209236145e-01;+6.5510398149490356e-01;+5.4275202751159668e-01;+4.9840000271797180e-01;+6.5747201442718506e-01;+6.1536002159118652e-01;+5.3836798667907715e-01
4850;+4.7808000445365906e-01;+6.6464000940322876e-01;+5.4854398965835571e-01;+5.0422400236129761e-01;+6.6700798273086548e-01;+6.2371200323104858e-01;+5.4944002628326416e-01
4900;+4.8406401276588440e-01;+6.7366397380828857e-01;+5.5567997694015503e-01;+5.1235198974609375e-01;+6.7113602161407471e-01;+6.3363200426101685e-01;+5.5654400587081909e-01
