Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
433000000;4.6417918205261230e+00;2.4319999217987061e+00;4.6571521759033203e+00;2.4360959529876709e+00;4.8394241333007812e+00;2.6664960384368896e+00;0.0000000000000000e+00;7.0653578791112882e-07;1.8707883439948524e-15;7.2620846662482358e-08;9.5618070915292451e-15;3.7196513211095871e-06
435000000;4.6602239608764648e+00;2.4453120231628418e+00;4.6858239173889160e+00;2.4473600387573242e+00;4.8527359962463379e+00;2.6777598857879639e+00;0.0000000000000000e+00;3.0028564717284923e-07;8.1312284530857662e-16;7.6740845284073760e-08;1.2777644711991919e-14;4.4786162523775606e-06
437000000;4.6868481636047363e+00;2.4555521011352539e+00;4.7052798271179199e+00;2.4616959095001221e+00;4.8875517845153809e+00;2.6869759559631348e+00;0.0000000000000000e+00;5.6359306970763257e-06;4.8632841120840392e-15;7.0401493924553387e-08;9.1186577101575736e-15;4.6568222808627001e-06
439000000;4.7104001045227051e+00;2.4678399562835693e+00;4.7226881980895996e+00;2.4719359874725342e+00;4.9090561866760254e+00;2.7043840885162354e+00;0.0000000000000000e+00;9.6218154798179393e-07;1.8589548188765491e-15;6.3780412287815315e-08;7.2499237936185414e-15;3.0298935279263973e-06
441000000;4.7278079986572266e+00;2.4811520576477051e+00;4.7452158927917480e+00;2.4821760654449463e+00;4.9315838813781738e+00;2.7187199592590332e+00;0.0000000000000000e+00;3.6704874208401253e-06;0.0000000000000000e+00;7.9751589434336740e-08;1.3355004443349953e-14;6.2408634767325521e-06
443000000;4.7472639083862305e+00;2.4934399127960205e+00;4.7656960487365723e+00;2.4954879283905029e+00;4.9530878067016602e+00;2.7279360294342041e+00;0.0000000000000000e+00;1.8252656282546172e-06;1.7130535759526928e-15;9.6656000072555680e-08;7.5659866271243933e-15;7.1901160027430201e-06
445000000;4.7708158493041992e+00;2.5057280063629150e+00;4.7912960052490234e+00;2.5077760219573975e+00;4.9725441932678223e+00;2.7351040840148926e+00;0.0000000000000000e+00;2.2325922515884668e-06;1.8581520842070812e-15;9.2461006771552113e-08;1.2759310978221957e-14;4.7598146885986232e-06
447000000;4.7933440208435059e+00;2.5139200687408447e+00;4.8138241767883301e+00;2.5180160999298096e+00;4.9971199035644531e+00;2.7473919391632080e+00;0.0000000000000000e+00;2.4319365380613063e-06;2.9701750501593757e-15;9.6824175804245548e-08;1.5699496693699558e-14;6.3763333764877574e-06
449000000;4.8158721923828125e+00;2.5292799472808838e+00;4.8312320709228516e+00;2.5282559394836426e+00;5.0227198600769043e+00;2.7607040405273438e+00;0.0000000000000000e+00;4.6909793918253531e-06;2.3567983721474500e-15;9.2078915800894040e-08;1.0867459160457686e-14;6.6966890312688994e-06
451000000;4.8343038558959961e+00;2.5354239940643311e+00;4.8568320274353027e+00;2.5374720096588135e+00;5.0411520004272461e+00;2.7750399112701416e+00;0.0000000000000000e+00;4.2254372286823284e-06;2.2191360422456578e-15;6.5165987803216974e-08;6.0521892061245216e-15;4.6586698071741451e-06
453000000;4.8599038124084473e+00;2.5487360954284668e+00;4.8783359527587891e+00;2.5538558959960938e+00;5.0647039413452148e+00;2.7944960594177246e+00;0.0000000000000000e+00;3.1642319941161117e-08;2.8589206014309710e-15;8.0194067592032820e-08;1.1092611933552166e-14;4.7590459566687291e-06
455000000;4.8814082145690918e+00;2.5579519271850586e+00;4.8977918624877930e+00;2.5630719661712646e+00;5.0954241752624512e+00;2.8006401062011719e+00;0.0000000000000000e+00;1.2225758420523250e-06;2.8701193808698046e-15;7.3396911409884048e-08;2.0753170907827816e-14;5.0155201117297336e-06
457000000;4.9008641242980957e+00;2.5733120441436768e+00;4.9203200340270996e+00;2.5753600597381592e+00;5.1097598075866699e+00;2.8119039535522461e+00;0.0000000000000000e+00;3.9691449988727155e-07;1.1040561071421937e-15;6.3623786487826040e-08;9.3844769107086467e-15;4.8389167141880225e-06
